model,accuracy,f1,roc_auc
LogReg,0.7663333333333333,0.5168849069607168,0.7458305186313784
SVM,0.7628333333333334,0.5161509690581435,0.7543306632031789
SGD,0.737,0.49809160305343514,0.7337571203425989
NaiveBayes,0.7723333333333333,0.4944485566247224,0.7249713799438838
GradBoost,0.8173333333333334,0.4632713026444662,0.7797750582117187
RandForest,0.813,0.45107632093933464,0.7541881878146532
KNN,0.7935,0.43086816720257237,0.704528379049361
DecTree,0.725,0.38661710037174724,0.6055440261851541
